Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm
23,4.6,3.6,1.0,0.2
16,5.7,4.4,1.5,0.4
66,6.7,3.1,4.4,1.4
12,4.8,3.4,1.6,0.2
43,4.4,3.2,1.3,0.2
147,6.3,2.5,5.0,1.9
52,6.4,3.2,4.5,1.5
28,5.2,3.5,1.5,0.2
5,5.0,3.6,1.4,0.2
33,5.2,4.1,1.5,0.1
143,5.8,2.7,5.1,1.9
86,6.0,3.4,4.5,1.6
87,6.7,3.1,4.7,1.5
17,5.4,3.9,1.3,0.4
11,5.4,3.7,1.5,0.2
82,5.5,2.4,3.7,1.0
134,6.3,2.8,5.1,1.5
138,6.4,3.1,5.5,1.8
76,6.6,3.0,4.4,1.4
110,7.2,3.6,6.1,2.5
97,5.7,2.9,4.2,1.3
106,7.6,3.0,6.6,2.1
67,5.6,3.0,4.5,1.5
1,5.1,3.5,1.4,0.2
123,7.7,2.8,6.7,2.0
68,5.8,2.7,4.1,1.0
29,5.2,3.4,1.4,0.2
41,5.0,3.5,1.3,0.3
45,5.1,3.8,1.9,0.4
61,5.0,2.0,3.5,1.0
124,6.3,2.7,4.9,1.8
25,4.8,3.4,1.9,0.2
26,5.0,3.0,1.6,0.2
24,5.1,3.3,1.7,0.5
95,5.6,2.7,4.2,1.3
40,5.1,3.4,1.5,0.2
96,5.7,3.0,4.2,1.2
118,7.7,3.8,6.7,2.2
48,4.6,3.2,1.4,0.2
98,6.2,2.9,4.3,1.3
114,5.7,2.5,5.0,2.0
34,5.5,4.2,1.4,0.2
139,6.0,3.0,4.8,1.8
102,5.8,2.7,5.1,1.9
63,6.0,2.2,4.0,1.0
85,5.4,3.0,4.5,1.5
149,6.2,3.4,5.4,2.3
54,5.5,2.3,4.0,1.3
6,5.4,3.9,1.7,0.4
94,5.0,2.3,3.3,1.0
112,6.4,2.7,5.3,1.9
50,5.0,3.3,1.4,0.2
36,5.0,3.2,1.2,0.2
81,5.5,2.4,3.8,1.1
78,6.7,3.0,5.0,1.7
35,4.9,3.1,1.5,0.1
115,5.8,2.8,5.1,2.4
8,5.0,3.4,1.5,0.2
44,5.0,3.5,1.6,0.6
71,5.9,3.2,4.8,1.8
99,5.1,2.5,3.0,1.1
121,6.9,3.2,5.7,2.3
84,6.0,2.7,5.1,1.6
135,6.1,2.6,5.6,1.4
136,7.7,3.0,6.1,2.3
90,5.5,2.5,4.0,1.3
9,4.4,2.9,1.4,0.2
14,4.3,3.0,1.1,0.1
120,6.0,2.2,5.0,1.5
126,7.2,3.2,6.0,1.8
4,4.6,3.1,1.5,0.2
18,5.1,3.5,1.4,0.3
39,4.4,3.0,1.3,0.2
73,6.3,2.5,4.9,1.5
137,6.3,3.4,5.6,2.4
7,4.6,3.4,1.4,0.3
113,6.8,3.0,5.5,2.1
101,6.3,3.3,6.0,2.5
3,4.7,3.2,1.3,0.2
64,6.1,2.9,4.7,1.4
55,6.5,2.8,4.6,1.5
127,6.2,2.8,4.8,1.8
51,7.0,3.2,4.7,1.4
116,6.4,3.2,5.3,2.3
47,5.1,3.8,1.6,0.2
140,6.9,3.1,5.4,2.1
62,5.9,3.0,4.2,1.5
148,6.5,3.0,5.2,2.0
80,5.7,2.6,3.5,1.0
60,5.2,2.7,3.9,1.4
92,6.1,3.0,4.6,1.4
42,4.5,2.3,1.3,0.3
59,6.6,2.9,4.6,1.3
91,5.5,2.6,4.4,1.2
49,5.3,3.7,1.5,0.2
89,5.6,3.0,4.1,1.3
108,7.3,2.9,6.3,1.8
125,6.7,3.3,5.7,2.1
22,5.1,3.7,1.5,0.4
58,4.9,2.4,3.3,1.0
145,6.7,3.3,5.7,2.5
130,7.2,3.0,5.8,1.6
38,4.9,3.1,1.5,0.1
141,6.7,3.1,5.6,2.4
2,4.9,3.0,1.4,0.2
53,6.9,3.1,4.9,1.5
131,7.4,2.8,6.1,1.9
104,6.3,2.9,5.6,1.8
100,5.7,2.8,4.1,1.3
117,6.5,3.0,5.5,1.8
88,6.3,2.3,4.4,1.3
75,6.4,2.9,4.3,1.3
122,5.6,2.8,4.9,2.0
150,5.9,3.0,5.1,1.8
21,5.4,3.4,1.7,0.2
72,6.1,2.8,4.0,1.3
107,4.9,2.5,4.5,1.7
15,5.8,4.0,1.2,0.2
93,5.8,2.6,4.0,1.2
103,7.1,3.0,5.9,2.1
